City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Viedma,Ar,54.77,clear sky,-40.8135,-62.9967,Hotel Cristal
80,Lannion,Fr,64.94,broken clouds,48.75,-3.4167,Hotel Arcadia
81,Talnakh,Ru,51.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
82,New norfolk,Au,43.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
83,Sur,Om,83.88,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
85,Jalu,Ly,93.52,clear sky,29.0331,21.5482,صاحبة الفخامة
86,Ahipara,Nz,50.76,few clouds,-35.1667,173.1667,Ahipara Holiday Park
87,Touros,Br,72.72,light rain,-5.1989,-35.4608,INN NEW HORIZON
89,Mehamn,No,58.95,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
90,Guerrero negro,Mx,74.01,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
91,Clyde river,Ca,44.83,few clouds,70.4692,-68.5914,Qamaq Hotel
92,Mackay,Au,56.68,light rain,-21.15,149.2,International Lodge Motel
93,Khatanga,Ru,43.61,overcast clouds,71.9667,102.5,"""Khatanga"""
94,Orgovany,Hu,90.86,clear sky,46.7509,19.4726,Pipacs-Tanya
95,Takoradi,Gh,78.06,broken clouds,4.8845,-1.7554,Raybow International Hotel
96,Tulu bolo,Et,55.85,moderate rain,8.6667,38.2167,Kiya Sime Hotel
97,Ejea de los caballeros,Es,77.22,scattered clouds,42.1263,-1.1372,Hotel Ciudad De Ejea
98,Tuktoyaktuk,Ca,77.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
99,Kihei,Us,75.85,scattered clouds,20.785,-156.4656,Maui Sunset
100,Georgetown,My,84.13,few clouds,5.4112,100.3354,Cititel Penang
101,Cherskiy,Ru,44.01,overcast clouds,68.75,161.3,Gostinitsa
102,Darhan,Mn,63.19,light rain,49.4867,105.9228,Buudai Hotel
103,Port blair,In,82.92,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
104,Coahuayana,Mx,91.51,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
105,Narsaq,Gl,62.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
106,Epe,Ng,77.67,scattered clouds,6.5841,3.9834,MAGVILLE HOTEL
107,Iqaluit,Ca,49.73,moderate rain,63.7506,-68.5145,Frobisher Inn
108,Hilo,Us,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
109,Souillac,Mu,70.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
110,Saint-philippe,Re,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
111,Leningradskiy,Ru,43.52,overcast clouds,69.3833,178.4167,Gostinitsa
112,Cape town,Za,55.89,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
113,La macarena,Co,83.8,broken clouds,2.1837,-73.7849,Casa Hotel Real
116,Kapaa,Us,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
117,Hithadhoo,Mv,82.76,overcast clouds,-0.6,73.0833,Scoop Guest House
118,Salinopolis,Br,81.61,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
119,Fontaine,Fr,85.89,light rain,45.1984,5.6827,Hôtel Institut
120,Porto novo,Bj,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
121,Namatanai,Pg,78.24,light rain,-3.6667,152.4333,Seagulls Inn Namatani
122,Mayskiy,Ru,74.61,broken clouds,47.6931,40.1025,Dio Lakrua
123,Ogbomosho,Ng,82.58,broken clouds,8.133,4.25,Living Soul Garden Hotel
125,Camopi,Gf,85.66,overcast clouds,3.1655,-52.3158,La pousada
126,East london,Za,59.94,overcast clouds,-33.0153,27.9116,Tu Casa
127,Saldanha,Za,53.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
128,Butaritari,Ki,83.1,broken clouds,3.0707,172.7902,Isles Sunset Lodge
129,Angoche,Mz,72.3,scattered clouds,-16.2325,39.9086,Guest House HESADA
130,Sinnamary,Gf,83.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
131,Krasnoselkup,Ru,55.04,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
132,Rugeley,Gb,66.49,overcast clouds,52.7593,-1.9369,Cedar Tree Hotel
133,Nardaran,Az,74.84,few clouds,40.5561,50.0056,Bizim Baki Baglari
134,Shingu,Jp,74.35,moderate rain,33.7333,135.9833,Shingu UI Hotel
135,Manggar,Id,80.73,scattered clouds,-2.8833,108.2667,Guest Hotel
136,Iberia,Us,92.08,broken clouds,29.9502,-91.7507,back to back rv park
137,Geraldton,Au,39.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
138,Luwuk,Id,77.7,light rain,-0.9516,122.7875,Hotel Santika Luwuk
139,Coihaique,Cl,34.41,fog,-45.5752,-72.0662,Diego De Almagro Coyhaique
140,Nelson bay,Au,62.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
141,Svetlogorsk,By,70.66,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
143,Atuona,Pf,77.76,scattered clouds,-9.8,-139.0333,Villa Enata
144,Tual,Id,76.6,light rain,-5.6667,132.75,Grand Vilia Hotel
146,Wucheng,Cn,75.9,light rain,29.6008,118.175,Xiuwu Restaurant
147,Bredasdorp,Za,50.32,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
148,Saint-pierre,Re,71.28,overcast clouds,-21.3393,55.4781,Alize Plage
149,Ayame,Ci,76.98,broken clouds,5.6083,-3.1563,Hotel Bossan
150,Saint george,Us,95.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
151,Nieuw amsterdam,Sr,90.14,scattered clouds,5.8833,-55.0833,Hotel Stardust
152,Sokoni,Tz,78.66,light rain,-6.4333,39.55,Ujamaa Beach Resort
153,Luderitz,Na,59.27,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
154,Acajutla,Sv,77.5,overcast clouds,13.5928,-89.8275,Laureles
155,Aleksandrov gay,Ru,62.96,overcast clouds,50.147,48.5704,Gostinitsa
156,Sovetskaya gavan,Ru,56.25,overcast clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
157,Kodiak,Us,54.91,mist,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
158,Castro,Br,72.95,clear sky,-24.7911,-50.0119,CHACARA BAILLY
159,Barrow,Us,37.42,overcast clouds,71.2906,-156.7887,King Eider Inn
160,Arlit,Ne,103.12,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
161,Pisco,Pe,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
162,Avarua,Ck,66.25,clear sky,-21.2078,-159.775,Paradise Inn
163,Muroto,Jp,76.68,moderate rain,33.2833,134.15,Oota Ryokan
164,Ancud,Cl,46.22,heavy intensity rain,-41.8697,-73.8203,Hotel Arena Gruesa
165,Guilin,Cn,77.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
166,Bandarbeyla,So,78.13,few clouds,9.4942,50.8122,JABIR HOTEL
167,Nizhniy odes,Ru,51.28,broken clouds,63.6445,54.856,Gostinitsa Uyut
168,Klaksvik,Fo,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
169,Feijo,Br,92.5,scattered clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
170,Sheopur,In,89.47,broken clouds,25.6667,76.7,Shri Ram Dharmshala
171,Vestmannaeyjar,Is,52.79,broken clouds,63.4427,-20.2734,Glamping & Camping
172,Kruisfontein,Za,52.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
173,Havre-saint-pierre,Ca,59.36,broken clouds,50.2334,-63.5986,Auberge Niapiskau
175,Mount isa,Au,49.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
